职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
Python初级设计师,4-7K,长沙,芙蓉区,马王堆,经验不限,大专,"['全勤奖', '团建聚餐', '带薪年假', '节日福利', '年终奖', '工龄奖']",['Python'],4.0,7.0,1.0,5.5,0,0,4,大专,开发工程师,"['全勤奖', '团建聚餐', '带薪年假', '节日福利', '年终奖', '工龄奖']",['Python'],6,1,0,1,0
python大数据开发工程师,15-16K,长沙,芙蓉区,马王堆,1-3年,学历不限,[],"['Python', 'Golang', 'Java', 'Django', '架构设计经验', '爬虫经验', '云计算经验']",15.0,16.0,1.0,15.5,1,3,1,学历不限,开发工程师,[],"['Python', 'Golang', 'Java', 'Django', '架构设计经验', '爬虫经验', '云计算经验']",0,7,0,1,0
python开发工程师,9-14K,长沙,芙蓉区,韭菜园,3-5年,本科,"['五险一金', '节日福利', '年终奖', '带薪年假']","['Java', 'C++', '自动化测试', 'MySQL', '其他', '测试开发', 'Python', 'Flask']",9.0,14.0,1.0,11.5,3,5,5,本科,开发工程师,"['五险一金', '节日福利', '年终奖', '带薪年假']","['Java', 'C++', '自动化测试', 'MySQL', '其他', '测试开发', 'Python', 'Flask']",4,8,0,1,0
初级java开发工程师,4-5K,长沙,芙蓉区,高桥,经验不限,大专,[],"['Java', 'Python', 'JVM', 'SQL Server']",4.0,5.0,1.0,4.5,0,0,4,大专,开发工程师,[],"['Java', 'Python', 'JVM', 'SQL Server']",0,4,0,1,0
股票量化策略研究员,10-15K,长沙,芙蓉区,定王台,3-5年,本科,"['生日福利', '全勤奖', '包吃', '带薪年假', '五险一金', '节日福利']",['证券从业资格证'],10.0,15.0,1.0,12.5,3,5,5,本科,其他,"['生日福利', '全勤奖', '包吃', '带薪年假', '五险一金', '节日福利']",['证券从业资格证'],6,1,0,0,0
高级python爬虫工程师,12-24K,长沙,芙蓉区,马王堆,经验不限,学历不限,"['五险一金', '团建聚餐', '员工旅游', '绩效奖金', '定期体检', '节日福利', '保底工资', '底薪加提成', '带薪年假', '零食下午茶', '年终奖']","['爬虫', 'Python']",12.0,24.0,1.0,18.0,0,0,1,学历不限,开发工程师,"['五险一金', '团建聚餐', '员工旅游', '绩效奖金', '定期体检', '节日福利', '保底工资', '底薪加提成', '带薪年假', '零食下午茶', '年终奖']","['爬虫', 'Python']",11,2,0,1,0
Python,8-13K,长沙,芙蓉区,定王台,1-3年,本科,"['通讯补贴', '年终奖', '节日福利', '定期团建', '包吃', '五险一金', '带薪年假', '住房补贴', '餐补', '全勤奖', '员工旅游', '零食下午茶', '交通补助']","['Python', 'Django', 'Kafka', 'MySQL', 'Redis']",8.0,13.0,1.0,10.5,1,3,5,本科,开发工程师,"['通讯补贴', '年终奖', '节日福利', '定期团建', '包吃', '五险一金', '带薪年假', '住房补贴', '餐补', '全勤奖', '员工旅游', '零食下午茶', '交通补助']","['Python', 'Django', 'Kafka', 'MySQL', 'Redis']",13,5,0,1,0
中台支持负责人,25-50K·13薪,长沙,芙蓉区,马王堆,5-10年,本科,[],"['用户画像与分层', '精细化运营策略设计', '活动策划与组织', 'B端用户', 'C端用户', '数据分析能力好', '用户同理心强', '沟通能力好', '不接受居家办公']",25.0,50.0,1.0833333333333333,40.625,5,10,5,本科,其他,[],"['用户画像与分层', '精细化运营策略设计', '活动策划与组织', 'B端用户', 'C端用户', '数据分析能力好', '用户同理心强', '沟通能力好', '不接受居家办公']",0,9,0,0,0
python开发,6-8K,长沙,芙蓉区,马王堆,1-3年,本科,"['生日福利', '节日福利', '包吃', '员工旅游']","['C++', '爬虫经验', 'Django', 'MySQL', 'PHP', 'Python']",6.0,8.0,1.0,7.0,1,3,5,本科,开发工程师,"['生日福利', '节日福利', '包吃', '员工旅游']","['C++', '爬虫经验', 'Django', 'MySQL', 'PHP', 'Python']",4,6,0,1,0
AI高级产品经理,15-20K,长沙,芙蓉区,韭菜园,3-5年,本科,"['绩效奖金', '有无线网', '员工旅游', '通讯补贴', '带薪年假', '生日福利', '零食下午茶', '底薪加提成', '定期体检', '年终奖', '团建聚餐', '交通补助', '餐补', '包吃', '节日福利', '五险一金']",[],15.0,20.0,1.0,17.5,3,5,5,本科,AI/算法工程师,"['绩效奖金', '有无线网', '员工旅游', '通讯补贴', '带薪年假', '生日福利', '零食下午茶', '底薪加提成', '定期体检', '年终奖', '团建聚餐', '交通补助', '餐补', '包吃', '节日福利', '五险一金']",[],16,0,1,0,0
前端开发工程师,8-13K,长沙,芙蓉区,五一广场,3-5年,大专,"['底薪加提成', '保底工资', '全勤奖', '免费工装', '五险一金', '节日福利', '团建聚餐', '零食下午茶', '生日福利', '有无线网']","['CSS', 'Python', 'HTML5', 'Vue', '计算机/软件工程相关专业', '前端开发经验', '不接受居家办公']",8.0,13.0,1.0,10.5,3,5,4,大专,开发工程师,"['底薪加提成', '保底工资', '全勤奖', '免费工装', '五险一金', '节日福利', '团建聚餐', '零食下午茶', '生日福利', '有无线网']","['CSS', 'Python', 'HTML5', 'Vue', '计算机/软件工程相关专业', '前端开发经验', '不接受居家办公']",10,7,0,1,0
Python程序员,5-8K,长沙,芙蓉区,马王堆,1-3年,本科,"['五险一金', '20天长假']","['Python', 'Django', 'MySQL', 'Linux开发/部署经验']",5.0,8.0,1.0,6.5,1,3,5,本科,开发工程师,"['五险一金', '20天长假']","['Python', 'Django', 'MySQL', 'Linux开发/部署经验']",2,4,0,1,0
谷歌SEO经理,10-15K,长沙,芙蓉区,马王堆,1-3年,大专,"['五险一金', '年终奖', '带薪年假', '法定节假日三薪', '零食下午茶', '节日福利']","['搜索引擎优化', 'Google', '越南语', 'SEO/SEM经验（有案例）']",10.0,15.0,1.0,12.5,1,3,4,大专,其他,"['五险一金', '年终奖', '带薪年假', '法定节假日三薪', '零食下午茶', '节日福利']","['搜索引擎优化', 'Google', '越南语', 'SEO/SEM经验（有案例）']",6,4,0,0,0
Python软件工程师,6-11K,长沙,芙蓉区,定王台,经验不限,大专,[],"['机器学习工程经验', '机器学习经验', '计算机相关专业', 'Numpy', 'C/C++', '爬虫', '爬虫经验', '机器学习/算法工程', 'MySQL', '数据库', '量化交易开发经验', 'TensorFlow', 'Python']",6.0,11.0,1.0,8.5,0,0,4,大专,开发工程师,[],"['机器学习工程经验', '机器学习经验', '计算机相关专业', 'Numpy', 'C/C++', '爬虫', '爬虫经验', '机器学习/算法工程', 'MySQL', '数据库', '量化交易开发经验', 'TensorFlow', 'Python']",0,13,0,1,0
智能体开发（Python）,11-15K,长沙,芙蓉区,五一广场,3-5年,本科,[],"['Python', 'TensorFlow', 'Hive', '机器学习经验', 'Dify']",11.0,15.0,1.0,13.0,3,5,5,本科,开发工程师,[],"['Python', 'TensorFlow', 'Hive', '机器学习经验', 'Dify']",0,5,0,1,0
测试工程师（安全方向）,8-13K,长沙,芙蓉区,远大路,5-10年,本科,"['员工旅游', '零食下午茶', '通讯补贴', '五险一金', '交通补助', '节日福利', '餐补', '带薪年假', '全勤奖', '住房补贴']","['自动化测试经验', '测试工作经验', '通信相关专业', '性能测试', 'Fiddler', '计算机相关专业', 'Shell', '熟悉TCP/IP，TTP知识', '安全测试', '自动化测试', 'MySQL', 'Selenium', '掌握软件测试理论和流程', 'pytest、rf、unittest', 'Python', '网络安全产品测试验收']",8.0,13.0,1.0,10.5,5,10,5,本科,测试工程师,"['员工旅游', '零食下午茶', '通讯补贴', '五险一金', '交通补助', '节日福利', '餐补', '带薪年假', '全勤奖', '住房补贴']","['自动化测试经验', '测试工作经验', '通信相关专业', '性能测试', 'Fiddler', '计算机相关专业', 'Shell', '熟悉TCP/IP，TTP知识', '安全测试', '自动化测试', 'MySQL', 'Selenium', '掌握软件测试理论和流程', 'pytest、rf、unittest', 'Python', '网络安全产品测试验收']",10,16,0,1,0
Python开发工程师,6-10K,长沙,,,1-3年,大专,[],['python'],6.0,10.0,1.0,8.0,1,3,4,大专,开发工程师,[],['python'],0,1,0,1,0
Python,15-18K,长沙,芙蓉区,韭菜园,3-5年,本科,"['五险一金', '包吃', '带薪年假', '年终奖', '保底工资', '节日福利']","['Python', 'Django', '其他', 'MySQL', '其他', '团队管理经验', 'Linux开发/部署经验', '机器学习经验', '学习能力', '英文阅读理解能力', '独立完成工作']",15.0,18.0,1.0,16.5,3,5,5,本科,开发工程师,"['五险一金', '包吃', '带薪年假', '年终奖', '保底工资', '节日福利']","['Python', 'Django', '其他', 'MySQL', '其他', '团队管理经验', 'Linux开发/部署经验', '机器学习经验', '学习能力', '英文阅读理解能力', '独立完成工作']",6,11,0,1,0
AI应用开发工程师,12-15K,长沙,芙蓉区,火车站,5-10年,本科,[],"['Java', '搜索算法', '团队管理经验', '运筹优化算法', '分布式训练', '深度学习', '大模型算法', '多模态算法', '自然语言处理算法', '算法工程化经验', 'SQL', 'C/C++', '机器学习', '模型加速/性能优化', 'Python']",12.0,15.0,1.0,13.5,5,10,5,本科,开发工程师,[],"['Java', '搜索算法', '团队管理经验', '运筹优化算法', '分布式训练', '深度学习', '大模型算法', '多模态算法', '自然语言处理算法', '算法工程化经验', 'SQL', 'C/C++', '机器学习', '模型加速/性能优化', 'Python']",0,15,1,1,0
大数据治理工程师,8-12K,长沙,芙蓉区,马王堆,1-3年,本科,"['带薪年假', '五险一金', '年终奖']","['大数据治理工程师', '公安行业']",8.0,12.0,1.0,10.0,1,3,5,本科,数据分析/工程师,"['带薪年假', '五险一金', '年终奖']","['大数据治理工程师', '公安行业']",3,2,0,0,0
渗透测试,15-25K·15薪,长沙,芙蓉区,湘湖,1-3年,学历不限,[],"['Java', 'C++', 'Web测试经验', '渗透测试经验']",15.0,25.0,1.25,25.0,1,3,1,学历不限,测试工程师,[],"['Java', 'C++', 'Web测试经验', '渗透测试经验']",0,4,0,0,0
全栈工程师（精通react）,12-22K,长沙,芙蓉区,韭菜园,5-10年,本科,"['节日福利', '有无线网', '团建聚餐', '员工旅游', '底薪加提成', '保底工资', '带薪年假', '绩效奖金', '意外险', '五险一金']","['全栈侧重前端', 'React', 'Python', 'Java', '全栈项目经验', '计算机相关专业']",12.0,22.0,1.0,17.0,5,10,5,本科,开发工程师,"['节日福利', '有无线网', '团建聚餐', '员工旅游', '底薪加提成', '保底工资', '带薪年假', '绩效奖金', '意外险', '五险一金']","['全栈侧重前端', 'React', 'Python', 'Java', '全栈项目经验', '计算机相关专业']",10,6,0,1,0
高级系统开发工程师,15-16K,长沙,,,3-5年,本科,[],"['C++', 'Java', 'QT', 'MFC', 'STL', '架构设计经验', 'Linux开发/部署经验', '嵌入式软件经验']",15.0,16.0,1.0,15.5,3,5,5,本科,开发工程师,[],"['C++', 'Java', 'QT', 'MFC', 'STL', '架构设计经验', 'Linux开发/部署经验', '嵌入式软件经验']",0,8,0,0,0
Java高级开发工程师（招聘人数：5-10人）,12-18K,长沙,芙蓉区,火车站,5-10年,本科,"['节日福利', '工龄奖', '交通补助', '餐补', '有无线网', '通讯补贴', '加班补助', '生日福利', '年终奖', '定期体检', '带薪年假', '保底工资', '绩效奖金', '全勤奖', '五险一金']","['Java', 'Python', 'Spring', 'SpringCloud', 'SQL Server', 'MySQL', '架构设计经验', '云计算经验', '微服务经验', '不接受居家办公']",12.0,18.0,1.0,15.0,5,10,5,本科,开发工程师,"['节日福利', '工龄奖', '交通补助', '餐补', '有无线网', '通讯补贴', '加班补助', '生日福利', '年终奖', '定期体检', '带薪年假', '保底工资', '绩效奖金', '全勤奖', '五险一金']","['Java', 'Python', 'Spring', 'SpringCloud', 'SQL Server', 'MySQL', '架构设计经验', '云计算经验', '微服务经验', '不接受居家办公']",15,10,0,1,0
生信返修工程师,8-10K,长沙,芙蓉区,韭菜园,经验不限,本科,"['生日福利', '零食下午茶', '员工旅游', '节日福利', '五险一金', '底薪加提成', '带薪年假', '绩效奖金', '保底工资']",[],8.0,10.0,1.0,9.0,0,0,5,本科,其他,"['生日福利', '零食下午茶', '员工旅游', '节日福利', '五险一金', '底薪加提成', '带薪年假', '绩效奖金', '保底工资']",[],9,0,0,0,0
网络安全渗透工程师,18-25K,长沙,芙蓉区,韭菜园,5-10年,本科,"['加班补助', '绩效奖金', '带薪年假', '团建聚餐', '五险一金', '零食下午茶', '保底工资', '节日福利', '餐补', '员工旅游']","['安全运维和保障', 'Java', 'C/C++', '渗透测试经验', '安全体系架构和研发', '计算机/信息安全相关专业', 'PHP', '安全架构搭建经验']",18.0,25.0,1.0,21.5,5,10,5,本科,安全工程师,"['加班补助', '绩效奖金', '带薪年假', '团建聚餐', '五险一金', '零食下午茶', '保底工资', '节日福利', '餐补', '员工旅游']","['安全运维和保障', 'Java', 'C/C++', '渗透测试经验', '安全体系架构和研发', '计算机/信息安全相关专业', 'PHP', '安全架构搭建经验']",10,8,0,0,0
scratch编程老师,6-8K,长沙,芙蓉区,朝阳路,1-3年,大专,[],"['Scratch', 'Python', '竞赛', '白名单赛事']",6.0,8.0,1.0,7.0,1,3,4,大专,教育培训,[],"['Scratch', 'Python', '竞赛', '白名单赛事']",0,4,0,1,0
python开发工程师,8-12K,长沙,芙蓉区,马王堆,3-5年,大专,[],"['后端', '数据开发', '机器学习/算法工程', 'Python', 'Shell', 'PyTorch']",8.0,12.0,1.0,10.0,3,5,4,大专,开发工程师,[],"['后端', '数据开发', '机器学习/算法工程', 'Python', 'Shell', 'PyTorch']",0,6,0,1,0
机器学习实习生,3-7K·13薪,长沙,芙蓉区,人民中路,经验不限,本科,"['五险一金', '团建聚餐', '绩效奖金', '夜班补助', '餐补', '节假日加班费', '交通补助', '保底工资', '带薪年假', '年终奖', '节日福利', '员工旅游', '加班补助']","['Java', '算法', '数据分析', '机器学习', '深度学习', '大模型算法', '自然语言处理算法', '多模态算法', '推荐算法', 'Python']",3.0,7.0,1.0833333333333333,5.416666666666666,0,0,5,本科,AI/算法工程师,"['五险一金', '团建聚餐', '绩效奖金', '夜班补助', '餐补', '节假日加班费', '交通补助', '保底工资', '带薪年假', '年终奖', '节日福利', '员工旅游', '加班补助']","['Java', '算法', '数据分析', '机器学习', '深度学习', '大模型算法', '自然语言处理算法', '多模态算法', '推荐算法', 'Python']",13,10,1,1,0
Python Qt 开发工程师,6-8K,长沙,芙蓉区,朝阳路,1-3年,本科,[],"['Python', 'MySQL', 'PostgreSQL']",6.0,8.0,1.0,7.0,1,3,5,本科,开发工程师,[],"['Python', 'MySQL', 'PostgreSQL']",0,3,0,1,0
国企 AI大模型,30-60K·15薪,长沙,,,5-10年,本科,"['带薪年假', '补充医疗保险', '包住', '员工旅游', '宿舍有空调', '全勤奖', '绩效奖金', '定期体检', '通讯补贴', '节日福利', '五险一金', '年终奖', '交通补助']","['NLP算法', 'python', 'pytorch', '大模型', 'Spring', 'Spring Boot', 'Spring Cloud', 'MyBatis']",30.0,60.0,1.25,56.25,5,10,5,本科,AI/算法工程师,"['带薪年假', '补充医疗保险', '包住', '员工旅游', '宿舍有空调', '全勤奖', '绩效奖金', '定期体检', '通讯补贴', '节日福利', '五险一金', '年终奖', '交通补助']","['NLP算法', 'python', 'pytorch', '大模型', 'Spring', 'Spring Boot', 'Spring Cloud', 'MyBatis']",13,8,1,1,0
数据库运维,8-10K,长沙,,,3-5年,本科,"['带薪年假', '年终奖', '五险一金']","['DBA', 'Python/Shell', '运维经验']",8.0,10.0,1.0,9.0,3,5,5,本科,运维工程师,"['带薪年假', '年终奖', '五险一金']","['DBA', 'Python/Shell', '运维经验']",3,3,0,1,0
高级渗透测试工程师,12-15K,长沙,,,3-5年,大专,[],"['Burp Suite', 'Metasploit', 'Cobalt Strike', '渗透测试经验', 'Web测试经验', '攻防对抗经验']",12.0,15.0,1.0,13.5,3,5,4,大专,测试工程师,[],"['Burp Suite', 'Metasploit', 'Cobalt Strike', '渗透测试经验', 'Web测试经验', '攻防对抗经验']",0,6,0,0,0
资深后端开发工程师,12-13K,长沙,芙蓉区,五一广场,1-3年,本科,"['全勤奖', '五险一金']","['Golang', 'PyTorch', 'Numpy', 'MySQL', '后端开发', '区块链', '元宇宙']",12.0,13.0,1.0,12.5,1,3,5,本科,开发工程师,"['全勤奖', '五险一金']","['Golang', 'PyTorch', 'Numpy', 'MySQL', '后端开发', '区块链', '元宇宙']",2,7,0,0,0
编程老师,4-8K,长沙,芙蓉区,湖南农业大学,1-3年,大专,"['底薪加提成', '免费工装', '股票期权', '年终奖', '带薪年假', '保底工资', '补充医疗保险', '员工旅游', '加班补助', '餐补', '绩效奖金', '意外险', '包住', '节日福利', '团建聚餐', '宿舍有空调', '有无线网', '全勤奖', '五险一金', '住房补贴']","['Java', '微服务架构', '架构师', '高级软件工程师', '中级软件工程师', 'Windows']",4.0,8.0,1.0,6.0,1,3,4,大专,教育培训,"['底薪加提成', '免费工装', '股票期权', '年终奖', '带薪年假', '保底工资', '补充医疗保险', '员工旅游', '加班补助', '餐补', '绩效奖金', '意外险', '包住', '节日福利', '团建聚餐', '宿舍有空调', '有无线网', '全勤奖', '五险一金', '住房补贴']","['Java', '微服务架构', '架构师', '高级软件工程师', '中级软件工程师', 'Windows']",20,6,0,0,0
特殊气体探测器软件工程师,12-20K·13薪,长沙,芙蓉区,湖南农业大学,3-5年,本科,"['工龄奖', '保底工资', '通讯补贴', '有无线网', '带薪年假', '全勤奖']","['C++', 'Python', '嵌入式/单片机开发经验', '电气电气/自动化相关专业', '英语读写能力良好']",12.0,20.0,1.0833333333333333,17.333333333333332,3,5,5,本科,其他,"['工龄奖', '保底工资', '通讯补贴', '有无线网', '带薪年假', '全勤奖']","['C++', 'Python', '嵌入式/单片机开发经验', '电气电气/自动化相关专业', '英语读写能力良好']",6,5,0,1,0
运维工程师,6-11K,长沙,芙蓉区,马王堆,1-3年,本科,[],[],6.0,11.0,1.0,8.5,1,3,5,本科,运维工程师,[],[],0,0,0,0,0
数据分析师(J53739),7-9K,长沙,芙蓉区,韭菜园,1-3年,本科,"['定期体检', '带薪年假', '五险一金', '餐补', '节日福利', '员工旅游', '年终奖']","['Power BI', 'SQL', 'Python']",7.0,9.0,1.0,8.0,1,3,5,本科,数据分析/工程师,"['定期体检', '带薪年假', '五险一金', '餐补', '节日福利', '员工旅游', '年终奖']","['Power BI', 'SQL', 'Python']",7,3,0,1,0
数据工程师,6-11K,长沙,芙蓉区,湖南农业大学,1-3年,学历不限,"['餐补', '节日福利', '全勤奖', '通讯补贴', '交通补助', '五险一金', '年终奖', '带薪年假', '加班补助']","['数据处理', 'ETL', 'Hive']",6.0,11.0,1.0,8.5,1,3,1,学历不限,数据分析/工程师,"['餐补', '节日福利', '全勤奖', '通讯补贴', '交通补助', '五险一金', '年终奖', '带薪年假', '加班补助']","['数据处理', 'ETL', 'Hive']",9,3,0,0,0
Python工程师,11-16K,长沙,芙蓉区,韭菜园,3-5年,本科,"['五险一金', '带薪年假', '零食下午茶', '团建聚餐']","['Django', 'MySQL', 'Tornado', 'Python']",11.0,16.0,1.0,13.5,3,5,5,本科,开发工程师,"['五险一金', '带薪年假', '零食下午茶', '团建聚餐']","['Django', 'MySQL', 'Tornado', 'Python']",4,4,0,1,0
ai算法工程师,11-22K,长沙,芙蓉区,马王堆,经验不限,本科,[],"['深度学习', '机器学习', '大模型算法', '强化学习', '图像算法', '规控算法', '多模态算法', '模型加速/性能优化', '融合感知算法', '大数据处理框架(Spark/Hadoop/Hive)', '分布式训练', '发表算法相关优秀论文', '算法工程化经验', '优秀开源项目经历']",11.0,22.0,1.0,16.5,0,0,5,本科,AI/算法工程师,[],"['深度学习', '机器学习', '大模型算法', '强化学习', '图像算法', '规控算法', '多模态算法', '模型加速/性能优化', '融合感知算法', '大数据处理框架(Spark/Hadoop/Hive)', '分布式训练', '发表算法相关优秀论文', '算法工程化经验', '优秀开源项目经历']",0,14,1,0,0
程序技术员（AI+机器人）,6-11K,长沙,芙蓉区,马王堆,1-3年,大专,"['生日福利', '节日福利', '五险一金', '年终奖', '保底工资', '加班补助', '带薪年假', '绩效奖金', '定期体检', '员工旅游']","['Java', 'Python', 'PHP']",6.0,11.0,1.0,8.5,1,3,4,大专,AI/算法工程师,"['生日福利', '节日福利', '五险一金', '年终奖', '保底工资', '加班补助', '带薪年假', '绩效奖金', '定期体检', '员工旅游']","['Java', 'Python', 'PHP']",10,3,1,1,0
Python开发工程师-云办公-C端经验,11-16K,长沙,芙蓉区,定王台,3-5年,大专,"['员工旅游', '年终奖', '加班补助', '全勤奖', '零食下午茶', '带薪年假', '节日福利']",['Python'],11.0,16.0,1.0,13.5,3,5,4,大专,开发工程师,"['员工旅游', '年终奖', '加班补助', '全勤奖', '零食下午茶', '带薪年假', '节日福利']",['Python'],7,1,0,1,0
数据分析师（互联网小说方向）,18-25K·13薪,长沙,芙蓉区,五一广场,3-5年,本科,"['零食下午茶', '全勤奖', '带薪年假', '节日福利', '底薪加提成', '意外险', '工龄奖', '年终奖', '法定节假日三薪', '五险一金']","['Power BI', '数据分析/挖掘经验', 'SQL', 'Python', '数学/统计相关专业']",18.0,25.0,1.0833333333333333,23.291666666666664,3,5,5,本科,数据分析/工程师,"['零食下午茶', '全勤奖', '带薪年假', '节日福利', '底薪加提成', '意外险', '工龄奖', '年终奖', '法定节假日三薪', '五险一金']","['Power BI', '数据分析/挖掘经验', 'SQL', 'Python', '数学/统计相关专业']",10,5,0,1,0
JAVA高级工程师岗位,12-18K,长沙,芙蓉区,马王堆,5-10年,大专,"['保底工资', '补充医疗保险']","['Java', '大数据经验', '不接受居家办公', 'Dubbo', 'Spring']",12.0,18.0,1.0,15.0,5,10,4,大专,开发工程师,"['保底工资', '补充医疗保险']","['Java', '大数据经验', '不接受居家办公', 'Dubbo', 'Spring']",2,5,0,0,0
cocos游戏开发工程师,8-13K·13薪,长沙,芙蓉区,湖南农业大学,经验不限,大专,"['绩效奖金', '五险一金', '团建聚餐', '零食下午茶']",[],8.0,13.0,1.0833333333333333,11.375,0,0,4,大专,开发工程师,"['绩效奖金', '五险一金', '团建聚餐', '零食下午茶']",[],4,0,0,0,0
